,order_date,vendas,holt,holt_winters_add,holt_winters_mul,"SARIMAX(0,1,0)x(2,0,1,7)",LSTM
51,2016-02-21,9224,9877.774633514586,9017.175069048802,9399.015990902513,,
52,2016-02-22,8713,9384.091793261325,9121.335970372069,9477.990795828993,,
53,2016-02-23,7976,8809.90241214353,8182.900631274688,8438.215649766777,,
54,2016-02-24,6349,7995.0893951824755,6667.770242139415,6769.497246502964,,
55,2016-02-25,6022,6216.943696434288,6627.838003238185,6775.582452317044,,
56,2016-02-26,9121,5864.307098125084,8721.71511172573,8858.217567695987,,
57,2016-02-27,9048,9253.11628562675,9187.921209050919,9311.73055516166,,
58,2016-02-28,9180,9178.085307690197,8949.636665274698,9137.18132282126,,
59,2016-03-01,11170,9309.230685491375,8881.313719241598,9100.231316547226,,
60,2016-03-02,7779,11465.384806722892,8590.834443923577,8808.01226467926,,
61,2016-03-03,6700,7754.538375588496,6916.706819021289,6938.162179034699,,
62,2016-03-04,6518,6562.9487286431095,6822.029157850481,6899.002897221066,,
63,2016-03-05,12359,6371.662650401249,9270.551417604298,9509.580747087512,,
64,2016-03-06,11301,12747.035854251613,10182.946000963984,10521.792202178805,,
65,2016-03-07,9480,11589.858753927489,10341.88115916294,10707.641194596767,,
66,2016-03-08,10180,9573.243305296624,10633.730242664778,10976.584385100945,,
67,2016-03-09,9427,10316.870161070014,8878.398859903662,9001.14844746538,,
68,2016-03-10,6772,9487.44913285237,7678.151928216446,7567.504940936384,,
69,2016-03-11,6508,6585.542501258697,7417.429335462348,7349.6104013164695,,
70,2016-03-12,12561,6301.041633357047,10698.726897065324,10944.692761176424,,
71,2016-03-13,12648,12912.59367967808,10790.09813162315,11014.794505061778,,
72,2016-03-14,11186,13007.268405840801,10554.489717195807,10844.03767743109,,
73,2016-03-15,10096,11381.327850567563,11295.19691391375,11678.172084338785,,
74,2016-03-16,9104,10167.457033004708,9668.162117587352,9732.371032324372,,
75,2016-03-17,6236,9074.076340907322,7818.500971292537,7628.4821433285615,,
76,2016-03-18,6458,5947.352625122381,7410.4946904610215,7235.580399794264,,
77,2016-03-19,9060,6200.756974859,11465.464536951918,11571.87281617094,,
78,2016-03-20,10361,9060.60657527104,10614.413658053038,10588.13115491073,,
79,2016-03-21,9163,10492.012442350933,9551.27134961405,9660.765170262379,,
80,2016-03-22,9476,9181.849419949334,9526.800943211703,9698.871839891257,,
81,2016-03-23,8521,9514.468502743488,8305.516007052745,8459.627085828748,,
82,2016-03-24,6443,8472.234345354731,6317.507743601887,6517.223373167727,,
83,2016-03-25,6557,6208.080533352567,6444.333495959934,6586.125298421659,,
84,2016-03-26,9306,6343.088716194235,10310.298130243087,10471.080864392632,,
85,2016-03-27,8623,9358.386018417947,10366.43647638831,10392.260706163746,,
86,2016-03-28,11178,8624.53935798771,8931.979118578107,9034.577733962822,,
87,2016-03-29,7265,11403.856064886342,9573.88053451787,9812.757772590074,,
88,2016-03-30,6500,7134.072793598064,7929.350684017221,8098.836635651343,,
89,2016-03-31,5050,6291.763361290963,5544.468580274906,5873.930124422256,,
90,2016-04-01,5914,4727.718312056848,5516.254789712567,5736.186570986118,,
91,2016-04-02,8938,5691.43032758267,9112.698134363998,8911.736255759659,,
92,2016-04-03,9900,9011.241758130294,9127.18148425284,8937.8425739851,,
93,2016-04-04,9221,10068.830137036086,9361.662265891948,9289.05619385993,,
94,2016-04-05,8944,9318.57279022403,8187.023535201336,8289.612115271659,,
95,2016-04-06,8790,9003.888748571728,7454.79444139118,7597.784697532261,,
96,2016-04-07,7026,8828.918165667776,5942.6205374982765,6133.748609749359,,
97,2016-04-08,6863,6902.869593042282,6523.429735188355,6762.147137915847,,
98,2016-04-09,10714,6727.295122193281,9960.135844650815,10408.645959838124,,
99,2016-04-10,11515,10934.061059043855,10461.610387448916,10830.396949202399,,
100,2016-04-11,9834,11806.865514920499,10517.944678292564,10821.956346724379,,
101,2016-04-12,9626,9952.616805637103,9495.979757133338,9689.834980116737,,
102,2016-04-13,9392,9705.589485614413,8805.765010797888,8884.322535420499,,
103,2016-04-14,6806,9441.956593729023,7071.959324172414,6984.6276254742725,,
104,2016-04-15,7335,6619.029102916589,7157.01005316547,7131.277642645122,,
105,2016-04-16,11278,7198.776997594431,10682.0958021448,11059.865104841292,,
106,2016-04-17,9902,11509.582904016066,11239.742104746725,11586.48683185646,,
107,2016-04-18,9241,10010.441003591173,10283.798336668382,10520.648601465096,,
108,2016-04-19,9031,9272.701167462348,9409.644451277281,9556.140545850667,,
109,2016-04-20,9877,9037.272925584854,8731.839915290671,8793.547465797958,,
110,2016-04-21,6858,9957.04205074193,6874.533593582483,6867.390763419541,,
111,2016-04-22,7146,6665.533124340499,7135.935102242382,7153.258745611581,,
112,2016-04-23,10977,6980.937886239424,10738.872808334389,10976.596016164074,,
113,2016-04-24,9786,11171.140995208521,10667.721113454754,10926.654350599127,,
114,2016-04-25,9452,9876.444704678954,9890.602722327345,10087.46185797023,,
115,2016-04-26,9438,9497.621140488232,9333.906825963475,9470.813676434647,,
116,2016-04-27,9438,9476.17545889472,9191.776277166482,9257.509949249006,,
117,2016-04-28,7622,9472.46873918273,6808.670066746832,6812.706008290939,,
118,2016-04-29,5962,7491.053032868991,7257.9303646957505,7311.250373648743,,
119,2016-04-30,9595,5685.274456350172,10637.537526749118,10691.442405188764,,
120,2016-05-01,8128,9659.721137882047,9963.16307887586,10061.113714005372,,
121,2016-05-02,16167,8075.50530276288,9091.740235077383,9164.04659194821,,
122,2016-05-03,19167,16829.320846218918,10333.098451406357,10620.072829339366,,
123,2016-05-04,11133,20078.50523862402,12171.640419779305,12649.000594269282,,
124,2016-05-05,8303,11257.466510693785,9712.17666931045,9267.091254607074,,
125,2016-05-06,8386,8118.940297316076,9117.651928305319,8692.382574336914,,
126,2016-05-07,11658,8211.013216930105,12727.331459552235,13582.953192209105,,
